,,Val_Accuracy,Val_Accuracy,Val_Accuracy,Precision,Precision,Recall,Recall,Macro_F1,Macro_F1,AUC,AUC
,,mean,std,count,mean,std,mean,std,mean,std,mean,std
Dataset,Model,,,,,,,,,,,
EMODB,ResNet50,100.0,0.0,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
EMODB,mobilenetv2,94.393,1.486,3,0.943,0.01,0.932,0.019,0.921,0.015,0.995,0.002
ESC50,ResNet50,74.667,0.52,3,0.758,0.004,0.747,0.005,0.731,0.012,0.987,0.001
ESC50,mobilenetv2,85.062,0.653,3,0.859,0.008,0.851,0.007,0.839,0.016,0.994,0.001
ITALIAN_PD,ResNet50,97.523,1.7,3,0.319,0.552,0.32,0.555,0.312,0.541,0.992,0.005
ITALIAN_PD,mobilenetv2,99.324,0.0,3,0.994,0.0,0.992,0.0,0.991,0.004,0.992,0.003
PHYSIONET,ResNet50,93.133,0.557,3,0.903,0.016,0.89,0.004,0.883,0.007,0.955,0.006
PHYSIONET,mobilenetv2,91.97,0.242,3,0.89,0.005,0.864,0.002,0.86,0.008,0.952,0.001
PITT,ResNet50,66.188,0.731,3,0.626,0.007,0.618,0.008,0.577,0.019,0.62,0.011
PITT,mobilenetv2,66.826,1.204,3,0.634,0.013,0.624,0.015,0.585,0.011,0.625,0.027
